word,hiragana,katakana,ANIME_JDRAMA_rank,CEJC_rank,ADNO,AOZORA_BUNKO,BCCWJ_LUW,BCCWJ_SUW,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,HINGSTON,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JITEN_AUDIO,JITEN_DRAMA,JITEN_GLOBAL,JITEN_MANGA,JITEN_MOVIE,JITEN_NON_FICTION,JITEN_NOVEL,JITEN_VIDEO_GAME,JITEN_VISUAL_NOVEL,JITEN_WEB_NOVEL,JLAB,JPDB,MALTESAA_CSJ,MALTESAA_CSJ_DOKWA_GAKKAI,MALTESAA_CSJ_DOKWA_MOGI,MALTESAA_CSJ_DOKWA_ROUDOKU,MALTESAA_CSJ_DOKWA_SAIRO,MALTESAA_CSJ_DOKWA_SONOTA,MALTESAA_CSJ_TAIKA_JIYU,MALTESAA_CSJ_TAIKA_KADAI,MALTESAA_CSJ_TAIKA_MOGI,MALTESAA_NWJC,NAROU,NETFLIX,NIER,NOVELS,RSPEER,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
久しぶり,ひさしぶり,ヒサシブリ,5,1,1,1,1,1,4,5,4,1,1,4,1,1,1,1,1,1,4,1,1,4,5,1,4,5,5,5,5,5,5,3,4,4,4,4,5,3,1,1,1,1,1,1,1,1,1,1,1,4,4,1,4,1,2,3,4
右,みぎ,ミギ,5,5,4,5,5,5,4,4,4,4,4,5,4,4,5,4,4,4,4,5,4,4,5,3,5,4,1,4,4,4,4,5,5,5,4,4,4,2,4,5,4,4,4,5,4,5,4,5,4,4,4,4,5,4,5,4,5
ここから,ここから,ココカラ,5,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,3,1,4,3,3,4,4,3,3,3,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,5,1
新,しん,シン,5,5,5,5,1,5,4,4,4,5,5,5,5,4,5,5,5,4,4,4,4,5,3,5,4,4,4,4,4,5,4,4,4,4,3,3,5,1,4,4,5,5,4,5,4,4,4,5,4,5,4,5,5,4,5,4,4
ほんとに,ほんとに,ホントニ,5,1,1,1,1,1,1,1,4,1,1,4,1,1,1,1,1,1,4,1,1,3,5,1,1,3,4,4,4,4,4,2,3,4,4,3,1,5,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,1,4,1
まっ,まっ,マッ,5,1,3,1,1,1,1,1,4,3,1,4,1,1,1,4,4,4,4,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,3,1,2,3,1
よいしょ,よいしょ,ヨイショ,5,5,1,1,1,2,1,4,4,4,4,1,4,4,2,4,4,4,3,2,3,1,4,1,2,4,3,5,4,3,5,1,2,3,3,2,4,4,4,4,2,4,4,4,4,4,4,2,1,4,1,1,1,1,1,3,4
人たち,ひとたち,ヒトタチ,5,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,5,5,4,5,5,4,5,5,4,5,4,5,4,3,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,5,1
どうせ,どうせ,ドウセ,5,4,1,1,4,4,3,5,4,4,4,4,5,5,4,5,5,5,4,4,4,3,1,1,4,5,4,5,5,5,5,4,5,5,5,4,5,5,3,3,4,3,4,3,3,3,4,4,4,4,4,4,4,5,1,4,4
僕たち,ぼくたち,ボクタチ,5,1,1,1,1,1,1,4,5,1,1,1,1,1,1,1,1,1,4,1,1,3,1,1,4,4,5,4,4,3,4,3,3,4,3,2,4,4,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,4,1
謝る,あやまる,アヤマル,5,4,1,1,4,3,3,5,5,5,5,4,4,5,4,4,4,5,5,1,1,2,4,1,4,4,5,5,5,5,5,3,5,4,5,4,5,4,3,2,4,3,3,3,4,3,3,3,4,5,3,4,2,5,2,3,3
ゲーム,ゲーム,ゲーム,5,5,5,1,4,4,5,4,5,5,1,4,1,1,4,5,5,5,4,5,5,5,1,5,4,4,4,4,4,5,4,4,4,5,4,4,5,5,4,4,5,5,4,4,4,4,4,5,5,5,5,5,5,4,5,5,5
それでも,それでも,ソレデモ,5,1,1,1,5,1,1,5,4,1,1,5,1,1,1,1,1,1,5,1,1,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,3,4,1
ってば,ってば,ッテバ,5,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,3,4,4,4,4,4,4,1,3,4,4,4,1,5,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1
よっしゃ,よっしゃ,ヨッシャ,5,3,1,1,1,1,1,1,4,4,4,2,4,4,2,4,4,4,3,3,3,1,3,1,1,4,1,4,4,4,4,1,2,3,3,3,4,4,1,2,1,1,1,1,1,1,1,2,1,4,1,2,2,1,1,4,4
被害者,ひがいしゃ,ヒガイシャ,5,1,1,3,4,1,4,5,4,1,1,1,1,1,1,1,1,1,3,1,1,1,3,2,4,3,3,4,4,4,4,3,4,3,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,3,3
変身,へんしん,ヘンシン,5,2,3,1,2,3,3,3,4,4,4,3,4,4,3,4,4,4,3,4,4,3,4,3,3,3,1,3,3,3,3,3,3,3,3,3,4,2,3,2,3,3,3,3,3,3,3,4,4,4,1,3,4,3,4,3,3
マン,マン,マン,5,5,5,1,2,4,4,1,5,5,1,4,1,1,4,4,4,4,3,4,4,4,1,5,1,3,4,3,3,4,4,3,3,4,3,3,4,3,4,4,4,4,4,3,4,4,4,5,4,5,1,4,5,4,5,4,4
おっしゃる,おっしゃる,オッシャル,5,4,1,1,5,4,3,4,4,4,4,5,4,4,4,4,4,4,4,1,1,4,4,1,4,4,1,5,4,4,5,4,3,4,3,3,4,5,4,4,4,4,4,5,4,4,5,4,4,4,3,4,2,4,1,4,4
我ら,われら,ワレラ,5,1,1,1,1,1,1,4,4,1,1,3,1,1,1,1,1,1,4,1,1,2,3,1,4,4,3,3,4,4,4,2,3,5,3,3,4,3,1,1,1,1,1,1,1,1,1,1,1,4,1,1,3,1,2,2,1
撮る,とる,トル,5,5,2,1,4,4,4,5,5,5,5,4,5,4,5,4,4,5,4,1,1,3,4,1,4,4,4,5,4,4,5,3,4,4,4,3,5,5,4,4,4,4,4,5,4,4,4,4,1,5,4,4,3,1,3,5,5
介,-,-,5,1,3,4,1,1,1,4,4,3,1,5,1,1,3,3,3,3,4,2,2,3,1,1,3,2,3,2,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,3,1,4,3,1
すか,すか,スカ,5,1,2,1,2,2,2,5,4,1,2,2,2,2,2,1,1,3,4,2,2,3,1,1,4,1,3,3,3,4,3,1,2,2,3,1,4,1,2,1,2,2,2,2,2,2,2,2,2,4,1,2,3,3,2,4,2
牙,きば,キバ,5,2,2,3,2,2,2,2,4,4,4,4,5,3,4,5,5,3,4,3,3,2,3,1,3,3,1,2,3,3,3,2,3,3,3,4,4,2,1,2,2,1,1,1,1,1,1,3,4,4,3,4,3,4,3,3,2
ドア,ドア,ドア,5,4,4,1,5,4,4,5,5,5,1,5,1,1,5,4,4,5,4,5,5,4,1,3,5,4,4,4,4,4,5,4,5,4,4,4,5,5,4,3,4,4,4,3,4,4,4,4,4,5,1,5,4,5,4,4,4
それから,それから,ソレカラ,5,1,1,1,5,1,1,5,5,1,1,5,1,1,1,1,1,1,4,1,1,5,5,4,5,4,1,4,4,4,4,4,4,4,4,4,4,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,3,1,2,4,1
拳,こぶし,コブシ,5,4,3,4,3,3,2,3,4,3,3,4,4,3,4,4,4,3,4,3,3,3,3,1,4,3,1,3,4,4,3,2,4,3,4,5,4,4,3,2,3,3,4,2,2,2,4,3,5,4,3,4,3,4,4,2,3
斬る,きる,キル,5,1,2,1,1,1,3,4,4,4,1,4,1,1,1,5,5,2,4,1,1,2,3,1,4,4,4,3,3,3,4,2,3,3,3,4,5,5,1,1,1,1,1,1,1,1,1,1,1,4,4,4,2,1,4,2,2
今から,いまから,イマカラ,5,1,1,1,1,1,1,5,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,4,4,3,5,4,4,4,4,4,4,4,4,1,4,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,4,1
どうしても,どうしても,ドウシテモ,5,1,1,1,5,1,1,5,4,1,1,4,1,1,1,1,1,1,4,1,1,4,4,1,4,4,5,5,5,5,5,5,5,5,5,4,4,5,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,2,4,1
億,おく,オク,5,4,5,3,1,5,3,4,4,5,1,4,1,1,4,5,5,5,3,4,4,5,3,1,3,3,4,4,3,3,4,4,3,2,3,3,4,5,4,3,4,5,4,4,4,4,5,4,4,4,5,4,5,3,5,5,3
引く,ひく,ヒク,5,5,3,1,5,5,4,4,5,5,1,5,1,2,5,4,5,5,5,1,1,3,5,1,5,4,5,4,5,4,5,5,5,4,5,5,5,4,5,5,5,4,4,5,4,4,5,5,5,5,4,5,4,5,4,5,5
次回,じかい,ジカイ,5,4,3,2,3,3,4,4,4,4,4,2,5,5,2,5,5,5,2,3,3,4,4,1,2,4,1,4,4,4,3,3,3,3,3,3,5,1,3,3,3,3,3,3,3,3,4,4,4,4,4,2,4,3,3,4,4
２つ,ふたつ,フタツ,5,1,1,1,1,1,1,4,5,1,1,4,1,1,1,1,1,1,4,1,1,4,1,1,1,4,3,5,4,4,5,4,3,4,3,2,4,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,2,1,2,4,1
２人とも,ふたりとも,フタリトモ,5,1,1,1,1,1,1,4,5,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,4,3,4,2,2,4,3,2,1,4,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,2,1
げ,げ,ゲ,5,1,3,2,1,1,3,4,4,4,1,5,1,1,1,4,4,4,5,5,5,4,1,1,4,4,1,3,4,4,3,2,4,4,4,4,2,5,1,1,1,1,1,1,1,1,1,1,1,4,4,5,4,1,4,4,4
撃つ,うつ,ウツ,5,1,2,1,1,1,2,4,5,5,1,4,1,1,4,5,5,4,4,2,2,2,4,1,4,4,4,4,4,4,4,3,4,4,3,4,4,4,1,1,1,1,1,1,1,1,1,1,1,5,3,4,2,1,3,4,4
兄さん,にいさん,ニイサン,5,1,1,1,3,1,3,4,5,1,1,4,1,1,1,1,1,1,5,1,1,3,5,1,4,4,4,4,4,4,4,2,3,4,3,4,4,3,1,1,1,1,1,1,1,1,1,1,1,4,1,1,3,1,2,2,3
お待ち,-,-,5,1,1,1,1,1,1,5,4,1,1,4,1,1,1,1,1,1,4,1,1,3,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,1,4,1
おじいちゃん,おじいちゃん,オジイチャン,5,1,1,1,1,1,1,4,4,1,1,3,1,1,1,1,1,1,3,1,1,3,3,1,3,1,1,4,4,4,4,2,2,4,3,1,4,4,1,1,1,1,1,1,1,1,1,1,1,4,1,1,3,1,1,3,1
ただいま,ただいま,タダイマ,5,3,1,4,4,4,3,5,4,4,4,3,4,5,4,4,4,5,4,4,4,4,4,2,4,5,4,5,5,5,5,2,4,4,4,4,5,5,3,4,3,3,3,3,3,3,3,4,4,4,1,3,3,4,2,3,4
えー,えー,エー,5,5,1,1,3,4,3,1,4,4,5,3,5,5,1,4,4,4,4,4,4,3,1,1,1,4,5,5,5,5,5,3,4,5,5,4,1,1,5,5,5,5,5,5,5,5,5,4,1,4,4,4,4,1,1,5,5
レベル,レベル,レベル,5,5,4,1,4,4,5,4,4,4,1,3,1,1,4,4,4,4,4,4,4,5,1,3,3,4,1,4,4,4,4,5,4,4,4,4,4,5,5,5,5,5,5,5,5,4,5,5,5,4,5,4,5,4,4,5,5
動き,うごき,ウゴキ,5,4,4,1,5,5,4,1,4,4,4,5,5,4,5,5,5,4,5,4,4,5,5,1,1,4,4,4,5,4,4,5,5,5,5,5,5,2,4,5,4,5,4,5,4,4,4,4,5,4,3,5,4,5,4,5,5
そこで,そこで,ソコデ,5,1,1,1,1,1,1,5,5,1,1,5,1,1,1,1,1,1,4,1,1,5,1,5,5,3,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,4,5,1
笑い声,わらいごえ,ワライゴエ,5,3,1,1,3,3,2,5,5,3,2,4,2,5,4,2,2,5,3,3,4,2,3,1,4,4,3,4,4,2,4,2,4,3,4,4,5,1,2,2,2,2,4,3,2,2,2,2,4,5,4,4,2,4,1,4,4
おら,おら,オラ,5,3,4,1,1,1,1,4,4,4,4,3,4,4,1,4,5,4,4,2,2,5,1,1,3,4,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,1,4,1,3,4,1,1,2,3
おまえ,おまえ,オマエ,5,1,2,1,1,1,2,5,4,4,1,5,1,1,4,4,4,3,5,5,5,3,5,2,5,3,4,3,4,5,3,3,4,5,4,4,5,5,1,1,1,1,1,1,1,1,1,1,1,4,5,5,4,1,2,3,4
団,だん,ダン,5,4,5,4,1,4,3,4,4,4,4,4,5,4,4,5,5,4,3,4,4,4,2,1,4,3,4,3,3,4,3,3,3,4,2,3,3,3,4,2,4,4,4,4,3,4,3,4,5,4,1,4,4,3,5,4,3
ひとつ,ひとつ,ヒトツ,5,1,1,1,5,1,1,5,4,1,1,5,1,1,1,1,1,1,5,2,2,5,5,1,5,4,5,4,5,5,5,5,4,5,5,4,4,5,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,4,4,1
母ちゃん,かあちゃん,カアチャン,5,1,1,1,2,1,2,4,3,1,1,2,1,1,1,1,1,1,3,1,1,2,2,1,2,3,1,4,3,3,4,1,2,3,2,2,4,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,2
忙しい,いそがしい,イソガシイ,5,5,1,1,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,1,1,4,4,1,4,4,5,5,5,5,5,4,4,5,4,4,4,3,4,3,4,4,4,4,5,5,5,4,4,5,4,4,4,5,2,4,4
わあ,わあ,ワア,5,5,1,1,3,3,2,4,5,4,4,3,5,5,3,5,5,5,4,3,3,1,1,1,3,5,4,5,5,5,5,3,4,5,5,4,5,5,3,3,4,3,3,4,5,4,4,4,1,4,1,3,3,1,1,3,3
お店,おみせ,オミセ,5,1,1,1,1,1,4,5,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,3,4,4,5,4,4,5,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,4,5
今夜,こんや,コンヤ,4,2,2,5,4,4,3,5,5,5,5,4,4,4,5,4,4,4,4,5,5,3,4,2,4,4,4,5,5,4,5,3,4,4,4,4,4,2,2,1,2,2,2,3,2,2,2,4,4,5,1,4,4,4,3,3,3
百,ひゃく,ヒャク,4,5,4,5,4,5,3,3,4,1,1,5,1,1,5,1,1,1,5,4,4,5,4,1,4,3,1,3,4,4,3,4,4,3,3,4,4,3,5,5,5,5,5,5,4,4,5,4,4,4,3,5,5,4,5,4,3
ポ,ぽ,ポ,4,1,2,1,1,1,2,1,4,1,1,3,1,1,1,1,1,1,4,2,3,4,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,4,1,1,4,1,3,3,4
としても,としても,トシテモ,4,1,1,1,5,1,1,4,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,5,5,4,2,2,2,2,1,2,2,2,2,1,5,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,4,1
十分,じゅうぶん,ジュウブン,4,4,4,5,5,5,5,4,5,5,5,4,4,4,4,4,4,4,4,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,5,5,5,4,4,4,4,5,5,4,4,1,5,4,5,5
捕まえる,つかまえる,ツカマエル,4,4,1,1,4,3,3,4,5,5,5,3,4,4,4,4,5,4,4,1,1,2,4,1,4,4,5,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,3,4,3,3,3,3,4,5,4,4,2,4,2,3,3
ド,ド,ド,4,2,4,1,1,3,1,1,4,2,1,3,1,1,1,3,3,3,3,4,4,5,1,5,1,4,1,3,4,5,4,4,3,4,3,4,4,1,1,1,1,1,1,1,1,1,1,4,1,4,3,2,4,1,4,4,3
太郎,たろう,タロウ,4,2,4,1,3,2,2,4,4,2,2,4,2,3,3,3,3,3,3,1,1,4,3,3,4,3,1,3,2,3,3,3,1,1,2,1,1,1,4,4,1,4,3,3,3,5,3,3,1,4,1,4,4,2,4,4,4
それも,それも,ソレモ,4,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,5,5,4,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,5,1
なんとか,なんとか,ナントカ,4,1,1,1,5,1,1,5,4,1,1,4,1,1,1,1,1,1,5,1,1,4,4,1,5,4,3,4,4,4,4,4,4,4,4,4,4,5,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,2,4,1
ばあちゃん,ばあちゃん,バアチャン,4,1,1,1,2,1,1,4,4,1,1,3,1,1,1,1,1,1,3,1,1,3,2,1,1,1,1,3,2,3,4,1,1,3,2,2,3,4,1,1,1,1,1,1,1,1,1,1,1,4,1,1,3,1,2,3,1
しょうが,しょうが,ショウガ,4,4,1,1,3,3,3,4,4,2,2,3,2,2,2,2,2,2,4,2,1,3,5,1,3,1,1,2,1,2,2,1,1,1,1,1,5,2,3,2,4,3,3,3,3,3,3,3,2,4,1,1,3,2,1,4,2
さて,さて,サテ,4,2,1,3,2,2,4,4,4,4,3,5,3,3,5,5,5,5,5,5,5,5,1,3,5,5,4,4,5,5,5,5,5,5,5,5,5,5,4,2,4,4,4,5,4,5,4,2,1,4,4,5,4,1,1,5,5
チャンス,チャンス,チャンス,4,4,3,1,4,4,4,4,5,5,1,4,1,1,4,5,5,4,4,5,5,4,4,3,4,4,1,4,4,4,4,4,4,5,4,4,5,5,4,4,4,4,3,3,3,4,3,4,4,5,3,4,4,4,3,4,4
お話,おはなし,オハナシ,4,1,1,1,1,1,1,5,4,1,1,4,1,1,1,1,1,1,4,1,1,5,5,1,4,4,4,5,5,4,5,4,4,4,4,4,4,3,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,2,5,1
気持,きもち,キモチ,4,1,1,5,1,1,2,4,2,2,1,5,1,1,1,4,4,2,3,3,3,3,5,1,5,2,1,2,2,2,2,3,2,3,2,2,3,4,1,1,1,1,1,1,1,1,1,1,1,2,4,4,2,1,1,2,2
ピカ,ピカ,ピカ,4,1,1,1,1,1,1,2,2,2,1,2,1,1,1,2,2,1,2,1,1,2,1,1,2,3,1,2,2,2,2,1,1,2,1,1,5,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,3,1
アン,アン,アン,4,2,4,1,3,3,3,1,4,4,1,4,1,3,3,3,3,4,4,4,4,4,1,5,1,2,1,1,1,1,1,1,1,1,1,1,1,4,3,3,3,3,3,3,3,3,3,4,1,4,3,4,4,1,4,3,3
海賊,かいぞく,カイゾク,4,3,3,3,2,3,3,2,4,4,4,3,5,2,3,5,5,2,2,4,4,2,2,2,3,3,1,2,2,3,2,1,2,3,2,1,4,1,2,2,2,2,2,2,2,2,2,3,4,4,1,3,3,2,4,4,3
はねる,はねる,ハネル,4,3,1,1,2,2,2,2,4,3,2,4,3,2,3,3,3,2,4,1,1,1,5,1,3,3,1,3,3,3,3,2,2,3,3,2,5,4,2,3,3,2,2,2,2,2,2,2,4,4,1,2,1,4,2,4,3
らっしゃる,らっしゃる,ラッシャル,4,1,1,1,1,1,1,4,4,2,1,3,1,1,1,2,2,2,4,1,1,2,4,1,3,2,1,3,2,3,3,1,1,3,2,1,4,5,1,1,1,1,1,1,1,1,1,1,1,4,1,1,2,1,1,3,2
おいおい,おいおい,オイオイ,4,3,1,3,2,2,1,4,4,1,1,3,2,1,2,2,2,2,4,1,1,3,3,1,3,4,4,5,5,4,5,2,4,4,4,4,5,5,1,2,1,1,1,1,1,1,1,2,2,4,1,1,3,2,1,3,2
もうすぐ,もうすぐ,モウスグ,4,1,1,1,1,1,1,4,4,1,1,3,1,1,1,1,1,1,4,1,1,3,5,1,3,5,5,5,5,5,5,3,4,5,4,4,4,5,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,2,3,1
どうやら,どうやら,ドウヤラ,4,1,1,1,1,1,1,4,4,1,1,5,1,1,1,1,1,1,5,1,1,4,4,1,4,4,4,4,5,4,4,4,5,5,5,5,4,5,1,1,1,1,1,1,1,1,1,1,1,4,1,1,3,1,1,3,1
研究,けんきゅう,ケンキュウ,4,5,5,5,5,5,5,4,4,5,5,5,5,4,5,5,5,4,4,5,5,5,4,5,4,4,1,4,4,4,4,5,4,5,4,3,4,1,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5
ぶる,ぶる,ブル,4,1,1,1,1,1,2,1,4,3,1,4,1,1,4,3,3,3,5,1,1,2,1,1,1,3,3,3,4,4,3,2,3,3,4,3,4,4,1,1,1,1,1,1,1,1,1,1,2,4,3,3,2,3,4,4,3
やす,やす,ヤス,4,2,3,5,3,2,2,1,4,3,2,4,1,2,3,4,4,3,4,5,5,3,2,2,1,2,3,3,2,3,4,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,4,3,2,4,1,3,3,2
丸,まる,マル,4,5,4,5,4,4,4,1,4,4,4,4,5,4,4,5,5,4,4,4,4,4,4,2,1,4,3,4,4,4,4,3,3,3,3,3,5,4,5,5,4,4,4,5,4,5,4,4,4,4,3,4,4,4,4,4,4
おなか,おなか,オナカ,4,5,1,2,4,4,2,5,4,4,4,3,4,5,4,4,4,5,4,3,3,3,5,1,4,4,4,4,4,3,4,2,2,3,3,4,4,5,4,3,5,4,4,4,4,4,4,4,4,4,3,3,3,5,2,2,3
思える,-,-,4,1,2,1,5,1,4,1,4,4,1,5,1,1,1,4,4,4,5,1,1,4,4,1,1,1,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,4,1,2,4,4
かなり,かなり,カナリ,4,5,4,3,5,5,4,4,5,5,5,5,4,4,5,4,4,4,5,5,5,5,1,1,5,4,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5
ならば,ならば,ナラバ,4,1,1,1,1,1,1,4,4,1,1,2,1,1,1,1,1,1,5,1,1,2,1,3,5,5,3,3,4,4,3,3,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,2,1,1,3,1
新た,あらた,アラタ,4,3,5,1,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,4,4,1,4,4,4,4,5,4,5,4,5,4,3,4,4,4,5,4,4,4,4,4,4,4,4,5,4,4,4,5,4,5
それだけ,それだけ,ソレダケ,4,1,1,1,1,1,1,5,4,1,1,4,1,1,1,1,1,1,5,1,1,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,4,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,1,4,1
そのまま,そのまま,ソノママ,4,1,1,1,1,1,1,4,4,1,1,5,1,1,1,1,1,1,5,1,1,4,5,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,1,1,1,1,1,1,1,1,1,1,4,1,1,5,1,4,5,1
ドラえもん,ドラえもん,ドラエモン,4,2,3,1,3,2,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,3,1,5,1,2,1,2,1,1,2,1,1,1,1,1,1,1,3,2,3,3,3,3,5,3,3,3,1,4,1,1,3,1,4,3,3
疲れる,つかれる,ツカレル,4,5,1,1,4,4,4,5,5,5,5,4,4,5,5,4,4,5,5,1,1,3,5,1,4,4,5,5,5,5,5,4,5,4,5,4,5,1,4,3,4,4,4,4,5,5,4,4,5,5,4,4,3,5,2,4,4
あんまり,あんまり,アンマリ,4,1,1,1,4,1,3,4,4,4,1,4,1,1,1,4,4,5,5,4,4,4,5,1,4,5,5,5,5,5,5,4,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,1,5,5
アタック,アタック,アタック,4,2,3,1,1,2,2,2,3,3,1,2,1,1,2,3,3,3,3,2,2,2,3,3,2,3,1,3,3,3,2,2,2,3,2,3,3,4,2,3,2,2,2,2,2,2,2,3,3,3,5,2,3,3,3,5,4
兄ちゃん,にいちゃん,ニイチャン,4,1,1,1,2,1,3,4,3,1,1,3,1,1,1,1,1,1,4,1,1,3,5,1,3,4,1,4,3,4,4,1,2,4,3,3,4,3,1,1,1,1,1,1,1,1,1,1,1,3,4,1,3,1,2,3,3
足りる,たりる,タリル,4,5,1,1,4,4,4,4,4,5,5,4,5,4,4,5,5,5,4,1,1,2,5,1,4,5,5,5,5,5,5,4,5,5,5,5,5,3,4,4,4,4,4,4,4,4,4,4,5,4,5,4,2,5,3,4,4
まる,まる,マル,4,5,3,5,4,4,4,1,3,3,4,3,5,4,4,2,2,4,3,2,2,3,4,3,1,4,3,2,2,4,2,2,2,2,2,3,3,4,5,5,4,4,4,5,4,5,4,4,4,3,3,3,3,4,3,2,4
そうですね,そうですね,ソウデスネ,4,1,1,1,1,1,1,5,4,1,1,2,1,1,1,1,1,1,4,1,1,3,4,1,4,3,5,5,5,5,5,4,4,4,4,4,5,5,1,1,1,1,1,1,1,1,1,1,1,4,1,1,3,1,1,5,1
課長,かちょう,カチョウ,4,3,2,3,3,3,2,5,4,4,4,4,2,2,3,2,2,2,1,3,3,4,2,1,4,2,1,4,3,2,4,3,2,2,1,1,4,1,3,3,3,3,3,4,3,3,3,3,2,4,1,4,3,1,4,3,2
どっか,どっか,ドッカ,4,1,1,1,1,1,1,4,4,1,1,3,1,1,1,1,1,1,4,1,1,3,1,1,3,4,5,5,4,4,5,2,4,4,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,1,4,1
アハハ,アハハ,アハハ,4,1,1,1,1,1,1,1,4,4,1,1,1,1,1,4,4,5,2,2,3,1,1,1,1,4,3,4,4,3,4,1,2,3,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,3,3
ものを,ものを,モノヲ,4,1,1,1,1,1,1,5,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,5,3,1,3,3,2,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,4,1
手術,しゅじゅつ,シュジュツ,4,4,4,3,4,4,4,5,4,5,4,4,4,3,4,4,4,3,3,4,4,4,4,2,3,3,1,4,3,3,4,3,2,2,2,1,4,1,4,4,5,4,4,4,4,4,5,4,3,4,1,4,4,3,4,3,3
